scenario,aggregation,attack_enabled,round,num_clients,num_malicious,attack_strength,local_train_loss,aggregation_time_sec,test_loss,test_accuracy,predicted_positive_rate,clean_fedavg_accuracy,accuracy_drop,attack_success_rate
B_FedAvg_LabelFlip,fedavg,True,13,10,2,8.0,1.2176385914087295,0.0059123999963048846,2.2416908740997314,0.2995,0.741,0.88,0.5805,0.5805
B_FedAvg_LabelFlip,fedavg,True,14,10,2,8.0,1.1928586056232455,0.006437300005927682,1.9970331192016602,0.372,0.6615,0.8805,0.5085,0.5085
B_FedAvg_LabelFlip,fedavg,True,15,10,2,8.0,1.0796513698101045,0.008825600001728162,2.1885809898376465,0.284,0.7605,0.88,0.5960000000000001,0.5960000000000001
B_FedAvg_LabelFlip,fedavg,True,16,10,2,8.0,1.1432788504362106,0.008887500007404014,1.9845407009124756,0.3365,0.705,0.88,0.5435,0.5435
B_FedAvg_LabelFlip,fedavg,True,17,10,2,8.0,1.0602228974699974,0.0053352000104496256,1.9445568323135376,0.316,0.7215,0.8805,0.5645,0.5645
B_FedAvg_LabelFlip,fedavg,True,18,10,2,8.0,1.0090842850208284,0.006512399995699525,2.2023260593414307,0.2925,0.761,0.881,0.5885,0.5885
B_FedAvg_LabelFlip,fedavg,True,19,10,2,8.0,1.1750434104204177,0.02814669998770114,1.783450722694397,0.338,0.6915,0.8795,0.5414999999999999,0.5414999999999999
B_FedAvg_LabelFlip,fedavg,True,20,10,2,8.0,0.9319088269472123,0.009388200007379055,2.047274112701416,0.2805,0.793,0.8805,0.5999999999999999,0.5999999999999999
C_Krum_LabelFlip,krum,True,1,10,2,8.0,0.5203546574115754,0.054882299999007955,0.36940914392471313,0.8765,0.004,0.879,0.0025000000000000577,0.0025000000000000577
C_Krum_LabelFlip,krum,True,2,10,2,8.0,0.5074725615382194,0.031088700008695014,0.36773234605789185,0.8775,0.005,0.877,-0.0004999999999999449,0.0
C_Krum_LabelFlip,krum,True,3,10,2,8.0,0.5144038999676704,0.07066299999132752,0.3611064553260803,0.8775,0.002,0.8775,0.0,0.0
C_Krum_LabelFlip,krum,True,4,10,2,8.0,0.5572511586546899,0.051667099993210286,0.36409759521484375,0.8775,0.002,0.877,-0.0004999999999999449,0.0
C_Krum_LabelFlip,krum,True,5,10,2,8.0,0.5476743164062501,0.05279060000611935,0.3437083661556244,0.878,0.0015,0.879,0.0010000000000000009,0.0010000000000000009
C_Krum_LabelFlip,krum,True,6,10,2,8.0,0.541587220788002,0.0922741000103997,0.3567260205745697,0.8785,0.007,0.8785,0.0,0.0
C_Krum_LabelFlip,krum,True,7,10,2,8.0,0.5653911471366883,0.061985699998331256,0.34266719222068787,0.88,0.0025,0.879,-0.0010000000000000009,0.0
C_Krum_LabelFlip,krum,True,8,10,2,8.0,0.5614786998033524,0.08908099999825936,0.34711751341819763,0.8795,0.002,0.879,-0.0004999999999999449,0.0
C_Krum_LabelFlip,krum,True,9,10,2,8.0,0.5712819746732712,0.08859379999921657,0.3502504229545593,0.8805,0.005,0.8795,-0.0010000000000000009,0.0
C_Krum_LabelFlip,krum,True,10,10,2,8.0,0.5807799077630043,0.06452749999880325,0.3546793460845947,0.8785,0.01,0.8795,0.0010000000000000009,0.0010000000000000009
C_Krum_LabelFlip,krum,True,11,10,2,8.0,0.579666936814785,0.05551310000009835,0.359316349029541,0.873,0.0175,0.8795,0.00649999999999995,0.00649999999999995
C_Krum_LabelFlip,krum,True,12,10,2,8.0,0.5669516938924789,0.06791739999607671,0.34775927662849426,0.88,0.0075,0.881,0.0010000000000000009,0.0010000000000000009
C_Krum_LabelFlip,krum,True,13,10,2,8.0,0.6007546336054801,0.09543010000197683,0.3536697328090668,0.8745,0.014,0.88,0.005499999999999949,0.005499999999999949
C_Krum_LabelFlip,krum,True,14,10,2,8.0,0.5663588423728944,0.057646800007205456,0.3714521527290344,0.875,0.0115,0.8805,0.005499999999999949,0.005499999999999949
C_Krum_LabelFlip,krum,True,15,10,2,8.0,0.6110536987781525,0.047226700000464916,0.3481122851371765,0.8735,0.017,0.88,0.00649999999999995,0.00649999999999995
C_Krum_LabelFlip,krum,True,16,10,2,8.0,0.5919074158072472,0.038703400001395494,0.3661949634552002,0.8715,0.015,0.88,0.008499999999999952,0.008499999999999952
C_Krum_LabelFlip,krum,True,17,10,2,8.0,0.5804497762918472,0.05015070000081323,0.35851141810417175,0.877,0.0185,0.8805,0.0034999999999999476,0.0034999999999999476
C_Krum_LabelFlip,krum,True,18,10,2,8.0,0.6299848973155021,0.05592720001004636,0.3644995391368866,0.876,0.0105,0.881,0.0050000000000000044,0.0050000000000000044
C_Krum_LabelFlip,krum,True,19,10,2,8.0,0.6317553603649139,0.0356854999990901,0.3634536862373352,0.873,0.0235,0.8795,0.00649999999999995,0.00649999999999995
C_Krum_LabelFlip,krum,True,20,10,2,8.0,0.6298777723908424,0.04501479999453295,0.37833893299102783,0.8745,0.025,0.8805,0.005999999999999894,0.005999999999999894
D_Median_LabelFlip,coordinate_median,True,1,10,2,8.0,0.5203546574115754,0.0346302999969339,0.3706759214401245,0.879,0.0005,0.879,0.0,0.0
D_Median_LabelFlip,coordinate_median,True,2,10,2,8.0,0.5146719940304756,0.041611599997850135,0.34985533356666565,0.876,0.0035,0.877,0.0010000000000000009,0.0010000000000000009
D_Median_LabelFlip,coordinate_median,True,3,10,2,8.0,0.4985469925403595,0.0335868000111077,0.3482595980167389,0.8775,0.002,0.8775,0.0,0.0
D_Median_LabelFlip,coordinate_median,True,4,10,2,8.0,0.49860947322845456,0.04283459999714978,0.3366476893424988,0.879,0.0025,0.877,-0.0020000000000000018,0.0
D_Median_LabelFlip,coordinate_median,True,5,10,2,8.0,0.4979909261465073,0.03785829999833368,0.34042882919311523,0.8785,0.003,0.879,0.000500000000000056,0.000500000000000056
D_Median_LabelFlip,coordinate_median,True,6,10,2,8.0,0.49592098903656,0.05711429999792017,0.3329845070838928,0.8795,0.005,0.8785,-0.0010000000000000009,0.0
D_Median_LabelFlip,coordinate_median,True,7,10,2,8.0,0.49899280631542214,0.055931200011400506,0.3376026451587677,0.88,0.0015,0.879,-0.0010000000000000009,0.0
D_Median_LabelFlip,coordinate_median,True,8,10,2,8.0,0.5070891177654266,0.05616859998553991,0.33210769295692444,0.88,0.0045,0.879,-0.0010000000000000009,0.0
D_Median_LabelFlip,coordinate_median,True,9,10,2,8.0,0.4937436453700066,0.06776879999961238,0.33407002687454224,0.8795,0.003,0.8795,0.0,0.0
D_Median_LabelFlip,coordinate_median,True,10,10,2,8.0,0.5023949922323228,0.06270130000484642,0.3318656384944916,0.8805,0.006,0.8795,-0.0010000000000000009,0.0
D_Median_LabelFlip,coordinate_median,True,11,10,2,8.0,0.5051431549191475,0.02820390000124462,0.3326830565929413,0.8795,0.007,0.8795,0.0,0.0
D_Median_LabelFlip,coordinate_median,True,12,10,2,8.0,0.5014495460391044,0.03149190000840463,0.330862432718277,0.879,0.0055,0.881,0.0020000000000000018,0.0020000000000000018
D_Median_LabelFlip,coordinate_median,True,13,10,2,8.0,0.5106295651793479,0.1355755999975372,0.3312552273273468,0.8795,0.014,0.88,0.000500000000000056,0.000500000000000056
D_Median_LabelFlip,coordinate_median,True,14,10,2,8.0,0.5009902116656304,0.04274170000280719,0.3364597260951996,0.8805,0.004,0.8805,0.0,0.0
D_Median_LabelFlip,coordinate_median,True,15,10,2,8.0,0.5011565816402436,0.0587192000093637,0.33069562911987305,0.878,0.0115,0.88,0.0020000000000000018,0.0020000000000000018
D_Median_LabelFlip,coordinate_median,True,16,10,2,8.0,0.49971342605352403,0.06883839999500196,0.333980917930603,0.8805,0.007,0.88,-0.0004999999999999449,0.0
D_Median_LabelFlip,coordinate_median,True,17,10,2,8.0,0.5015760915875435,0.04282589998911135,0.3317842483520508,0.877,0.0105,0.8805,0.0034999999999999476,0.0034999999999999476
D_Median_LabelFlip,coordinate_median,True,18,10,2,8.0,0.5047584937810898,0.050138399994466454,0.3357725441455841,0.8785,0.008,0.881,0.0025000000000000577,0.0025000000000000577
D_Median_LabelFlip,coordinate_median,True,19,10,2,8.0,0.49445120531320585,0.0667057999962708,0.3350100815296173,0.8775,0.014,0.8795,0.0020000000000000018,0.0020000000000000018
D_Median_LabelFlip,coordinate_median,True,20,10,2,8.0,0.4984960144758225,0.04588010000588838,0.33286431431770325,0.879,0.0085,0.8805,0.0014999999999999458,0.0014999999999999458
E_TrimmedMean_LabelFlip,trimmed_mean,True,1,10,2,8.0,0.5203546574115754,0.03939649999665562,0.3727482557296753,0.879,0.0005,0.879,0.0,0.0
E_TrimmedMean_LabelFlip,trimmed_mean,True,2,10,2,8.0,0.5093835283517837,0.051692400011233985,0.35160931944847107,0.876,0.0035,0.877,0.0010000000000000009,0.0010000000000000009
E_TrimmedMean_LabelFlip,trimmed_mean,True,3,10,2,8.0,0.4947116705179214,0.03453859999717679,0.34971603751182556,0.8785,0.002,0.8775,-0.0010000000000000009,0.0
E_TrimmedMean_LabelFlip,trimmed_mean,True,4,10,2,8.0,0.49121456301212324,0.032389399988460355,0.3378826975822449,0.8785,0.002,0.877,-0.0014999999999999458,0.0
